E, [2019-01-20T16:35:47.628600 #12321] ERROR -- : TEST FAILED!!!
I, [2019-01-20T16:37:00.011002 #12345]  INFO -- : STEP 1: Run firefox browser.
I, [2019-01-20T16:37:00.012625 #12345]  INFO -- : STEP 2: Clear the browser firefox cookies.
I, [2019-01-20T16:37:00.014125 #12345]  INFO -- : STEP 3: Navigate to the following URL: http://www.upwork.com.
I, [2019-01-20T16:37:06.281915 #12345]  INFO -- : STEP 4: Focus onto 'Find freelancers' on the top dropdown.
I, [2019-01-20T16:37:06.326878 #12345]  INFO -- : STEP 5: Select 'Find Freelancers' on the top dropdown and enter Ruby and submit it (click on the magnifying glass button).
I, [2019-01-20T16:37:06.445433 #12345]  INFO -- : STEP 6: Click on the magnifying glass button and submit it.
I, [2019-01-20T16:37:15.648844 #12345]  INFO -- : STEP 7: Parse the 1st page with search results: store info given on the 1st page of search results as structured data of any chosen by you type (i.e. hash of hashes or array of hashes, whatever structure handy to be parsed).
I, [2019-01-20T16:37:15.652737 #12345]  INFO -- : STEP 8: Make sure at least one attribute (title, overview, skills, etc) of each item (found freelancer) from parsed search results contains 'Ruby' Log in stdout which freelancers and attributes contain 'Ruby' and which do not.
I, [2019-01-20T16:37:15.691579 #12345]  INFO -- : STEP 9: Click on random freelancer's title.
I, [2019-01-20T16:37:20.701147 #12345]  INFO -- : STEP 10: Get into that freelancer's profile (by clicking on desired Freelancer's title).
I, [2019-01-20T16:37:21.124644 #12345]  INFO -- : STEP 11: Check that each attribute value is equal to one of those stored in the structure created in STEPS 7 and 8.
I, [2019-01-20T16:37:21.126375 #12345]  INFO -- : STEP 12: Check whether at least one attribute contains Ruby.
I, [2019-01-20T16:37:21.189392 #12345]  INFO -- : TEST PASSED WITH SUCCESS.
